Date,AAPL,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2024-12-10,0.1879613437358298,0.2757463279437827,0.2789139322368367,0.2578134319553294,0.17310063406484805,0.36342339155134795,0.18675513319353787,0.23338663748341437,0.2518961276238664,0.1891200556533012,0.11954015387992489,0.30533614105740775,0.13638100210723195,0.1520452375075003,0.2508170861627912,0.2044192083376994,0.31637081200626993,0.3773235738537645,0.14802147554215525,0.1576351426300489,0.7457467811008569,0.31531918795226466,0.20835980581617297,0.17536507558089406,0.20018370315086234
2024-12-11,0.18859192967402713,0.2744667866474998,0.2814619532739173,0.2573463612679496,0.1708843538347605,0.36334159741179467,0.18664160372165922,0.23310942837091206,0.2737392123938503,0.18934144476887005,0.12366101484381796,0.30523268605363274,0.13638968729421472,0.15280299993821758,0.2537420572192062,0.20525543459457726,0.31853580988522856,0.38085935166672996,0.15238919291036052,0.15806192040574046,0.7522828219692071,0.3332514841724828,0.20840516334375112,0.16606445392769428,0.19885602967152327
2024-12-12,0.18589050281983555,0.393532330346102,0.2818309537082595,0.25740124633703126,0.1710818189075248,0.3620349454166908,0.18800042419206955,0.23295932937059927,0.27715908149618074,0.19300031960840797,0.12345622572297839,0.3052315354882483,0.1431689833086119,0.1505352345374822,0.25402666386070166,0.20406241650838,0.3150481311123502,0.37971507545966315,0.15477287799146283,0.1564842172335538,0.7537806518721109,0.33949937598277263,0.20692290329836172,0.1679109795461584,0.19871799933946516
2024-12-13,0.1709554814879816,0.3876068476836461,0.28086067044522334,0.25134029382299805,0.17038555125787505,0.3496395155617022,0.1881352919597719,0.2353851068783654,0.2776729570372579,0.19070917067462903,0.1231517087857931,0.30488757147889434,0.14159008460131836,0.15104185698797515,0.24536344286804196,0.20112039964329645,0.3144688024632504,0.3757551331834161,0.15499993296506664,0.1539394490928956,0.7456061964622873,0.34008578033698056,0.2052036421372258,0.16478317799968945,0.1977225296765634
2024-12-16,0.17199764714269153,0.38768523838317265,0.28386278806794724,0.24928715687280398,0.17007887078271164,0.34967625637866473,0.19809787695005218,0.2362400436093671,0.28566883687474404,0.1935568239179478,0.12798219037344746,0.30499389740333316,0.13828954822360381,0.1510159808716619,0.24555906055534124,0.20124988059886845,0.313908904915732,0.3759458717451321,0.15189546715045305,0.15050583972667045,0.7492914734810181,0.3502053831894215,0.20511569382371583,0.16366237785062096,0.2019684970838006
2024-12-17,0.1716784723113611,0.38756181881310753,0.28419345447386873,0.2491460543608393,0.17077914930342813,0.35145311463832585,0.19731529272340473,0.2352260800975039,0.28490649279550934,0.19378936663699206,0.1340201385416237,0.30537641726087156,0.14183075497137204,0.15017509615971078,0.24622381308813565,0.20132533816318215,0.31420719776919265,0.37713982884134917,0.15130447212242368,0.1507183029339273,0.7470161698105101,0.3536340219486609,0.20402723105616738,0.16153622015071786,0.19818179536338398
2024-12-18,0.1781696082462703,0.3917995710834346,0.3014467442106695,0.25898612440156776,0.17110821791841155,0.3601100512678877,0.20521673484404687,0.23797767719262272,0.2960443265127247,0.20279338225183074,0.13547289895851383,0.31406032997538363,0.14231607012594902,0.15092449913059308,0.25793032231690155,0.21514552249069094,0.320446535910495,0.3699175180563335,0.1507823365883469,0.15132084976922974,0.7717227437840494,0.35940150939048404,0.17700567442477572,0.167988570954689,0.20010175229194824
2024-12-19,0.17808223896195688,0.39155350889831686,0.30147782861138533,0.25876560511539914,0.17217722337256242,0.359826352196777,0.2037256116150278,0.23804825314511865,0.2956545342092199,0.2070320606073304,0.13395851451899804,0.3141718539809159,0.14239628058945394,0.15118090399862114,0.2575391580157266,0.21474354671796686,0.32099394321285935,0.3683678781450555,0.15508876192951823,0.15091200127545534,0.7727327406578891,0.3613799224634114,0.17701243515273954,0.16765026763407145,0.19710886057964588
2024-12-20,0.18138260574550102,0.39481209920997035,0.3009303259184621,0.2607337535896691,0.17128378218014262,0.3617688643787241,0.20318953039423607,0.23710457150926412,0.2966210247487972,0.21105755743796514,0.13425377434073443,0.31618657463181565,0.14256925086121766,0.15196192261109429,0.2602246711747117,0.21471354328728381,0.3188864591495564,0.3732765110005515,0.15640025548011513,0.15102334992107455,0.7769912332877347,0.3648900516814766,0.1771951123025655,0.16502622777885037,0.19447904234478638
2024-12-23,0.1813896220754937,0.39479122390644206,0.29819882552184096,0.2610980460282587,0.16726015344688153,0.36198407459433496,0.19678611093268303,0.2374449993042159,0.297851629513787,0.2105341319732437,0.13502330229423096,0.31618510587449494,0.14171434986756665,0.1517855248527464,0.2649179309580019,0.21419627695247423,0.3182235867777337,0.3770346744317239,0.15714271237685362,0.15095245133723523,0.7768453381864309,0.3649184218729901,0.17613719602840475,0.1714237852401934,0.1860918052591876
